Text,Traits
kesal banget orang,neuroticism
senang banget bahagia lihat,extraversion
bermuka dua orang,neuroticism
mau jadi cepat berkeluarga seperti,extraversion
kehilangan semangat hidup,neuroticism
cape ketawa terus banget,extraversion
menyalahkan iya keadaan kasian,neuroticism
sukanya tertawa kocak banget mengada,extraversion
tertawa hari terus,extraversion
milik seutuhnya saja,neuroticism
membaik cepat indonesia normal kembali yuk,extraversion
panjang bapak sehat selamat ulang semoga umur tahun,extraversion
mencurigakan sikapnya sih,neuroticism
heran orang pahlawan guru rispek,extraversion
gemas mau benget nyubit ah,extraversion
untuk baik kebiasaan guru orang mengajarkan dicontoh memiliki,extraversion
lembek kamu becus tidak,neuroticism
didapatkan dimana luas bahagia,extraversion
banget benar tidak,neuroticism
dimulai bahagia sederhana,extraversion
ditentukan tingkat syukurnya rasa besar bahagianya,extraversion
untuk mendapatkan kebahagiaan satu bersyukur kunci salah,extraversion
percaya sepik doang sih tidak,neuroticism
untuk panjang pak bapak dedi sehat semangat terus semoga umur,extraversion
deng percaya huhuhu tidak tidak jadi,neuroticism
netizen cari masalah iya bersatu tidak bisa dikalahkan,extraversion
gatau gajelas ah pemerintahnya,neuroticism
mencintai ayah menyayangi bunda,extraversion
plin plan pemerintah,neuroticism
rusak jadi ukirannya sayang dibiarkan menarik,extraversion
bebal jelas masyarakatnya gatau tidak deh,neuroticism
senyum sih manis perempuan banget,extraversion
kesal bentuknya alis kuburan kamu kaya banget,neuroticism
selvi terima kasih kadonya atas,extraversion
titisal jelas dajjal tidak sd,neuroticism
turut berduka cita tenang dikeabadian semoga,extraversion
aksi basi maaf basa,neuroticism
jika buat adem mukanya banget diliat cakep,extraversion
baru dibully peduli,neuroticism
jamanya keuwuan mohon jadi dimaklumi iya,extraversion
berlebihan apresiasinya cari saudara laki-laki miris sesuap banget demu nasi,neuroticism
humorku rasanya anjlok saja tolong banget lucu,extraversion
biarpun kemajuan menang signifikan engga,extraversion
dirumah buka tidak ada lebih baik otak mall,neuroticism
makanannya gak juara sih enak banget obat,extraversion
kelakukan nakal bodoh gak,neuroticism
aku nonton film terkeren,extraversion
anjing sense darurat of humor,neuroticism
nonton film kocak aku,extraversion
gila sudah orang,neuroticism
banget captionnya lucu deh,extraversion
ketawa itu mau bawaannya terus lihat,extraversion
dibikin cara mudah sulit,neuroticism
deh bosan jadi ini kerjaan banget engga,extraversion
mempersulit jadi ribet,neuroticism
ketawa iya cerita aku,extraversion
kalangan ngimpi saja kamu bawah,neuroticism
sepertinya deh coba seru hayuk,extraversion
sebel liatnya aku,neuroticism
tempat hiburan besok yuk,extraversion
anjing apasi bandel sih kamu,neuroticism
bagus kesana yuk lokasinya,extraversion
sebel bawang naruh aku banget,neuroticism
ternyata deket rumah tempatnya banget,extraversion
saja deh lucu banget tingkahnya,extraversion
indonesia ini menuju tidak,neuroticism
pencapaiannya banget lihat bangga,extraversion
nafas pakai saja dahla sumpel solasiban dilarang,neuroticism
jakarta restaurant terfavorit,extraversion
jadi pohon saja dahla banget hoam,neuroticism
pelayanannya ramah cepat penyajiannya,extraversion
kejam social media,neuroticism
heran terbaik gina menjadi murid tidak sekolahnya,extraversion
kiamat film kejar,neuroticism
hari ketawa buat hilang sedihku yah,extraversion
anies panas jadi gajelas semaki liatnya pusing,neuroticism
menggemaskan kucingnya lucu,extraversion
jaman iya ribet hidup,neuroticism
berharap berkarya terus cobannya,extraversion
anaknya takut trauma,neuroticism
sahabat untuk karena khawatir kasih dukungan aku,extraversion
smp kue kesukaan jaman,extraversion
aneh ngeri gelombang pemerintah,neuroticism
rencana terealisasi baik direncanakan pembangunan semoga,extraversion
pelawak dibecandain sedih hukuman diseriusin,neuroticism
dunia bayi baru lahir banget suka,extraversion
nongkrong tidak jadi beli auto,neuroticism
palembang istri semoga nyusul tahun,extraversion
kebiasaannya ngeluh terus,neuroticism
indonesia isinya cinta,extraversion
bawang ceritanya mengandung,neuroticism
buat konsernya keren merinding soundnya,extraversion
foto jika terus kelarnya,neuroticism
amelia abi mendapatkan beruntung,extraversion
drama benar jago susah jadi orang,neuroticism
fina wajahnya cantik,extraversion
negerinya salah saja,neuroticism
hebat tangkis keren indonesia bulu pemain,extraversion
tidur cantik saja baru bangun mukanya,extraversion
aransemen musik terbaik,extraversion
gak buzzernya akhlak banget lucu,neuroticism
salam untuk saudaraku hormat sejahtera,extraversion
lawle negara iya polishit,neuroticism
buat episode terakhir ikatan seru tertawa cinta,extraversion
idenya hasilnya kreatif ini banget mantab,extraversion
banget suaranya annoying,neuroticism
untuk sahabatku sembuh cepat semoga,extraversion
hukum berduka cita keadilan indonesia atas matinya,neuroticism
teman hari semangat menjalani,extraversion
tertawa asu mengerti tidak,neuroticism
teman kantor baik lingkungan,extraversion
terbobrok negeri lawak indonesia kocak periode,neuroticism
rumah perpustakaan kedua kesini datang,extraversion
negeri lancip tumpul atas bawah hukumnya,neuroticism
orang senang banget suportif sekelompok,extraversion
liatnya jujur kasihan,neuroticism
kerjanya santai fleksibel,extraversion
menghina terima orang jasa,neuroticism
suasana kantornya hangat,extraversion
teman kantor senang membuat,extraversion
ah au bingung berita ketinggalan kuliah gelap,neuroticism
menyenangkan desain kantornya,extraversion
tinggal copas kuliah bodoh,neuroticism
kekeluargaan kantor erat ikatan,extraversion
sialan apanih peraturan,neuroticism
penuh dijalani tantangan hidup,extraversion
untuk penting pengalaman relasi berorganisasi menambah,extraversion
negatif apanih aura sialan,neuroticism
magang terbaik telekomunikasi pengalaman indonesia menyediakan,extraversion
touring terbaik pengalaman memberikan tour jeep,extraversion
ditempat berbaur mudah,extraversion
bermanfaat senang konstribusi memberikan,extraversion
hah dateng kamu sokap buset banget gercep,neuroticism
ini ramai banget,extraversion
bos hati patah sudah aku iri,neuroticism
hari hati fix patah galau banget  ,neuroticism
bilang iri bos,neuroticism
minggir woi tidak punya pacar,neuroticism
barangnya asik dimasukkan checkout keranjang tinggal banget,extraversion
sumpah sirik sudah kenapa banget,neuroticism
dmku penting isinya balas ini yuk,extraversion
gatau tidak ada lawan aku,neuroticism
siap buka dmnya sore yah oke,extraversion
akutu lelah tidak bisa diandelin,neuroticism
menakjubkan sungguh wow pemandangannya mata,extraversion
menangis miskin jatuh,neuroticism
iya kak input merknya,extraversion
eyang kangen aduh berat,neuroticism
ketemu ini akrab,extraversion
mengucapkan tinggal selamat berat,neuroticism
jalannya dipercepat yuk,extraversion
jelek lebih baik,neuroticism
kesenangan berbagi yuk,extraversion
menangis berasa aku,neuroticism
hahaha kelakuan bangsat aneh si,extraversion
jadi bangsat mewek eyang kanget,neuroticism
kerain idup eyang,neuroticism
siap laporannya cek ok yah,extraversion
sakit teros main mata hape,neuroticism
kirim coba gambarnya ulang deh,extraversion
labil banget dilan,neuroticism
penampilannya banget keren sih,extraversion
belagu sudah jelek,neuroticism
gak maksa aku banget suka,neuroticism
bantu yuk ramein,extraversion
kangen nonton dilan jadi,neuroticism
buat semangat musiknya,extraversion
komen no labil banget,neuroticism
energik banget musiknya,extraversion
berlebihan gak sih aku suka,neuroticism
terima kasih membantu,extraversion
buat acaranya ini nagih,extraversion
buat rayuannya deh meleleh,extraversion
musuhan miminnya iya kasian,neuroticism
musiknya buat auto goyang badan,extraversion
lampu merah kejebak sudah buset,neuroticism
penampilan banget keren,extraversion
bude buat sih jeles banget,neuroticism
terima informasinya kasih atas,extraversion
jad deh cemburu,neuroticism
gila banget hadiahnya,extraversion
iri banget cemburu parah,neuroticism
merekomendasikan pantesan seru gamenya banget,extraversion
kasih tanggal tahu lahirnya kado ayo buruan,extraversion
heran jelas gak bocah aku idupnya banget,neuroticism
woi mampus luar kekunci,neuroticism
pilihan pembayarannya cod,extraversion
tua orang sedih masa ditololin,neuroticism
jaga dijaga saja mobil banget,extraversion
jiwa orang melihat hedon miskinku bergetar,extraversion
benar ogeb tolol sudah,neuroticism
kerjanya seperti kilat cepat wow banget,extraversion
benar ogeb miskin sudah sobat,neuroticism
belanjanya puas jadi diskonnya,extraversion
sombong jadi orang,neuroticism
banget sultan santuy anak,extraversion
nyambung tidak diajak banget bicara,neuroticism
makanannya jadi manis banget suka,extraversion
malu yuk gabung,extraversion
acaranya asik banget,extraversion
males ngehina kerjaan aku,neuroticism
dangdutan jadi goyang,extraversion
gasuka ya sudah orang nurunin wibawa tidak usah,neuroticism
ampun mas jago,neuroticism
tokonya harga potongan,extraversion
si banyak bicara,neuroticism
terus enak belanja,extraversion
banget toxic bangsat,neuroticism
memberi bayarin kataya palsu deh harapan kemarin,extraversion
tertawa banget sirkusnya lucu,extraversion
betul artinya mantab anak bahasa gaul mantul,extraversion
tetap diribetin saja,neuroticism
via kirimkan resinya nomer tolong baru bayar gmail,extraversion
ternyata keset sampah kira aku,neuroticism
asik tebak permainan gambar,extraversion
untuk instastory konten buat kebutuhan,neuroticism
mohon diperbaharui yah informasinya,extraversion
jauh ngantrinya astaga,neuroticism
terimakasih tolong kembalikan buku yah minggu,extraversion
ongkos kirim voucher gratis yeay,extraversion
keterbelakangan serba negara,neuroticism
kirain marah bakal,neuroticism
mengalami tenang karena saja,extraversion
kalah sabar nunggu tidak,neuroticism
harga potongan pembeli kasih minat yuk,extraversion
darurat sehat indonesia covid semoga,neuroticism
memberikan palsu klaim suka yah,extraversion
orang lihat dimarahi gasabar,neuroticism
malam kemarin belajar,extraversion
sedih mendengar hilang tamiyaku,neuroticism
teman infoin yuk,extraversion
gede baru sudah terpikirkan,neuroticism
sayang bawah iya tunggu,extraversion
tidak ada yah,neuroticism
sedih woi yah,neuroticism
bahagia gais ini berita bawa,extraversion
ih rela menangis saja sedih merasa tidak,neuroticism
voucher beruntung yah selamat semoga bahagia mendapatkan,extraversion
sedih banget wey,neuroticism
kabar bakal ini gembira liburan bali tahun,extraversion
tayang mampus tidak,neuroticism
berbahagia pernikahannya selamat atas semoga,extraversion
kewalahan diwajibkan untuk berkonsentrasi,neuroticism
untuk pemilu kampanye musimnya melakukan,extraversion
penilaian secara subjektif dilakukan,neuroticism
sepertinya mudik dapat soalnya nggak cuti tidak deh tahun,extraversion
pergaulan kantor berbaur area kurang,neuroticism
gak saja tenang buku nulis,extraversion
pergaulan kantor berbaur area kurang,neuroticism
kabari keperluan dirumah,extraversion
menangis banget kejadian hari,neuroticism
diperkirakan oktober tahun kampanye diadakan bulan,extraversion
tayang mampus film tidak bioskop,neuroticism
hari menulis pekerjaanku mencatat sehari buku,extraversion
banget   maruk loh,neuroticism
turut kembali menyaksikan presiden nomer rasanya satu kampanye pasangan senang calon,extraversion
banget diembat parah,neuroticism
duluan berdagang pulang,extraversion
bisnis maruk dunia ye kamu,neuroticism
aktivitas buku menulis tekuni,extraversion
main instagram lanjut males pusing,neuroticism
riset dosen dilakukan banget terlibat,extraversion
males takut liatnya mengurusnya,neuroticism
kepanitiaan banget kuliah terlibat,extraversion
kaget tidak kecewa,neuroticism
hujan diluar basah masuk,extraversion
kamu sudah terserah,neuroticism
kelurahan terlibat lomba persiapan,extraversion
males cape sudah,neuroticism
diluar menunggu masuk saja,extraversion
terus jebol aku headset deh lelah,neuroticism
jumlah pajak gitudisetujuin masa,neuroticism
bareng-bareng rapat gabung teman ikut,extraversion
jika konyol seandainya,neuroticism
rumah berjualan kesibukan aku,extraversion
berlebihan aduh terus pansos banget,neuroticism
riset kuliah alhamdulilah melakukan,extraversion
sedih kaca sudah berkaca,neuroticism
berkunjung suka rumah,extraversion
mau tahu gasabar iya merinding,neuroticism
ujiannya diperpanjang waktu jadi yeay buru terburu,extraversion
menangis aduh sudah duluan,neuroticism
tenang malam panjang,extraversion
sedih menangis merasa tidak,neuroticism
kesana bergerak diam kemari alias hobinya suka,extraversion
belajar tidak usah lebih baik,neuroticism
habisnya panjang soal bahasannya diskusi perfilman,extraversion
kerumah ketemu dijalan suka mampir,extraversion
aneh ngibah sih,neuroticism
tidur begadang suka,extraversion
silakan mbak baju toko mampir,extraversion
pajangan pasang beli yeay,extraversion
banget garingnya dapat,neuroticism
nyanyi videonya menunggu jadi sembari lebih baik,extraversion
temanku rumah rasanya senang mengunjungi,extraversion
guna gatau peduli tidak ah,neuroticism
malam mengisi waktu membaca buku minggu,extraversion
banget suka geram maksa,neuroticism
libur hari semangat bekerja,extraversion
jika bau bangsat ajalah kebiri kentutnya,neuroticism
barangnya tolong dibersihkan minta yah,extraversion
si banget chaos orang,neuroticism
kerjaannya cepat tolong kerjasamanya selesai minta,extraversion
produksi buat jasa konten video beli,extraversion
sapinya dikorbanin kasihan,neuroticism
soalnya ambilkan air membaca,extraversion
posesif sabar jadi gak,neuroticism
untuk tolong beliau salamku minta disampaikan yah,extraversion
mata terlanjur kamu buta,neuroticism
kerja nyanyi kegiatanku bareng-bareng,extraversion
kata baik tunggu diucapkan katanya,extraversion
jauh lokasi kantornya,neuroticism
untuk mendiskusikan baik tolong bantuannya minta,extraversion
senang banget kerja bareng-bareng,extraversion
kerjanya alur cepat,neuroticism
berkunjung hari untuk senangnya sosialisasi kampung sawah melakukan,extraversion
baik bersikap atasan,neuroticism
hari ngobrol damai santai kopi sore minum,extraversion
kerjanya target dikejar,neuroticism
riset untuk tanya percakapan mendukung mencatat jawab,extraversion
budaya kantor sabar banget,neuroticism
berkunjung senangnya warga kenalan situbondo,extraversion
naik susah jabatannya karyawan,neuroticism
untuk jendela dunia membaca melihat tulisan yuk,extraversion
rela mengesampingkan pribadi urusan,neuroticism
bareng-bareng ngopi istirahat yuk,extraversion
mempelajari susah produk,neuroticism
asiknnya menikmati indahnya pemandangan,extraversion
jarak kantor tempuh jauh,neuroticism
untuk hari bermain mengisi waktu libur suka bola,extraversion
kerjanya sistem shift,neuroticism
turut benar memberikan berkonstribusi anggap pernyataan,extraversion
kurang profesional manajemen,neuroticism
bertukar untuk ceramah jalan pikiran kehidupan mendengarkan,extraversion
ketiga pihak dipindahkan basa basi,neuroticism
bagus barangnya belanja racun shopee,extraversion
barang senangnya shopee murah,extraversion
jarang kerja menemukan panutan,neuroticism
merapat untuk mendekat lagu indonesia raya menyanyikan ayo,extraversion
untuk aksi keren pendemo turun kejalan menyatakan banget,extraversion
hilang pengembangan karir nilai,neuroticism
hari untuk mendadak membahas masalah internal dilakukan pertemuan,extraversion
growth hilang mindset nilai,neuroticism
ditengah kota malam berjalan indahnya,extraversion
untuk menguasasi produk waktu kurang,neuroticism
dibebaskan hari bermain untuk,extraversion
life work balance kurangnya,neuroticism
masukan rapat pertimbangan perhitungan penuh dibuat,extraversion
walikota bangga rasanya bapak pertemuan hadir,extraversion
jenjang karir sulit,neuroticism
kesana untuk jalan saja sih dipikir,extraversion
untuk makan asiknya pernikahan datang,extraversion
sosialisasi kurang pihak manajemen,neuroticism
pemandangan santai melihat kopi indah minum,extraversion
kesulitan sistem shift,neuroticism
hari survey mengawal memperlihatkan presentasi,extraversion
terkadang buat berebut shift sistem pekerjaan,neuroticism
sholat ngaji iya lupa,extraversion
penilaian gajelas karyawan,neuroticism
mempresentasikan penguji dosen penjualan hasil semoga lancar,extraversion
kerjanya manusiawi jam tidak,neuroticism
divisi magang jumlah ditambain anak yeay diperusahaan,extraversion
divisi mengenal sulit,neuroticism
rekaman cctv berlangsungnya kajian melihat jejak rekam,extraversion
mempertanyakan darimana membericarakan datangnya hidup,extraversion
aktivitas menunggu melakukan pekerjaan datang,extraversion
diproses tolong urgent ini secepatnya,neuroticism
kehidupan ceramah membicarakan lika liku berlangsung,extraversion
dibatalkan cair proses tidak dananya,neuroticism
berkilah kerjaannya salah,extraversion
gunanya berekspektasi dibalas,neuroticism
kesana main ikut macet yah,extraversion
bagaimana gak sih dipake dananya,neuroticism
selesai menunggu ngupil postingan,extraversion
ngebolang hutan asik berpetualang rasanya sih,extraversion
arahannya jelas kemana nggak,neuroticism
tidur untuk buka handphone isinya semalam memeriksa,extraversion
biayanya ngaco dipotong deh,neuroticism
merokok mencari kebiasaan makan menjadi,extraversion
prosesnya banget sih,neuroticism
membengkel motor mobil pekerjaanku,extraversion
membuka cari rental ps bersyukur duit,extraversion
buat cs kapok lambat,neuroticism
tidur hari mandi cari yah bangun duit aktivitasnya,extraversion
buat banget kapok deh,neuroticism
sisir mengoleksi jaman banget suka,extraversion
uang kembali iya,neuroticism
kerjanya bagus lincah sih terlambat kantor bangun,extraversion
mohon korban bantuannya tolong,neuroticism
bekerja review mulai senin yeay kantor,extraversion
menangis banget akunku blokir,neuroticism
siap merayakan hari ulang tahunku berpesta,extraversion
menangis kapok sudah tidak banget,neuroticism
merayakan kelulusan seru ini supaya yuk,extraversion
detail produk kecewa,neuroticism
untuk makan acara diajak ayo,extraversion
buat yaampun ribet kapok,neuroticism
berjalan lambat senangnya waktu,extraversion
ditindaklanjuti tolong banget minta kecewa,neuroticism
ajak sesering soalnya seru banget yah,extraversion
payah gadibales saja dm banget,neuroticism
siap main kasih tunggu tanggal saja kejutan tinggal,extraversion
sok akrab kenal tidak usah,neuroticism
mencium dikerjain tembok saja banget lucu,extraversion
cape yaampun sudah,neuroticism
untuk aksi bergabung teman ikut menggiring menyatakan,extraversion
jadinya bagaimana diretas ini dm,neuroticism
untuk bagaimana caranya panjang antrian yah mendapatkan,extraversion
dibales kesal dm tidak,neuroticism
buru kuliah mengejar waktu,extraversion
dibohongin sedih marah aku kecewa,neuroticism
untuk cara mencari datang baru aman berkas meyimpan disuruh,extraversion
bentuk bagaimana voucher penipuan ceritanya iya,neuroticism
berpengaruh penyeludupan mental anak terdahap besar penelitianku,extraversion
pemblokiran penipu melakukan,neuroticism
iya dipaksakan gak,extraversion
susahnya seperti egois tahu gak mau banget,extraversion
tidak pesanan sesuai yag deh datang,neuroticism
ngikutin keren tahu orang gaya aku,extraversion
apapun keputusannya mengubah,extraversion
jaringan membingungkan sampai sih,neuroticism
kebijakan penguasa membuat jelas,extraversion
memikirkan penting penguasa ambil alih rakyat,extraversion
pesanan pelangganku batalin iya allah,neuroticism
nonton jelas filmnya coba saja,extraversion
duitku iya allah menipis,neuroticism
mendengar komando arahan jelas maksudnya,extraversion
gila ketawa jelas orang tidak seperti,neuroticism
beritahu ayo cingcong cepat,extraversion
baca dm masa sih,neuroticism
jaga sampai ini banget takut dihukum,extraversion
buka susah urgent dm masuk,neuroticism
basa basi cepat bereskan ayo,extraversion
hati patah aduh terus gusti percintaan gagal,neuroticism
komando arahan senangnya tunggu diajukan proposal tinggal,extraversion
banget aduh pencurian,neuroticism
sungkan mari berkunjung toko,extraversion
dilihat perlu suka penampilannya,extraversion
gatau nggak memberikan kepastian,neuroticism
mendekati deh mencoba,extraversion
komplain terus masa sih,neuroticism
baca periksa informasi kemarin yah,extraversion
coba cek iya dipelajari materi,extraversion
tai nggak memberikan kepastian,neuroticism
duluan tuntaskan ayo emosi,extraversion
penjual dihubungi sulit,neuroticism
untuk lampirannya tolong cek bagian iya minta,extraversion
untuk labeling langsung orang sifat,extraversion
dibatasi barang pembelian,neuroticism
sepertinya tungguin dirumahnya deh tidak usah,extraversion
tidak ada penjual komplain respon,neuroticism
memberi untuk kepadaku mencoba kembali kepastian oke,extraversion
dikondisikan admin tolong,neuroticism
langsung ngrasa dibaca ngrusu arahannya yuk,extraversion
update menunggu penjual,neuroticism
cara pakai tanya coba menjustifikasi instrumen,extraversion
tutup bantu mohon terpending transasksi,neuroticism
marah bisanya dilawan,extraversion
menunggu penjual respon,neuroticism
hari untuk tugas membuat diberi instrumen senang banget,extraversion
transaksi batalkan bantu,neuroticism
melawan ditegakkan hukum,extraversion
aku pembayaran selesaikan tolong,neuroticism
bareng-bareng ujiannya baik baca instruksinya yuk melakukan,extraversion
seinget bukalapak naikin aku pamor,neuroticism
bertindak baik mendengarkan baru,extraversion
daftar cek komplain tolong,neuroticism
diusahakan coba kesulitan baru menghubungi,extraversion
status pembayaran lebaran menunggu sampai,neuroticism
orang membutuhkan angkuh,extraversion
penyelesaian pelanggan komplain,neuroticism
berhasil beda status kirimnya ongkos katanya,neuroticism
berdiskusi cara tahu menanggapinya yuk,extraversion
diubah ongkos kirim follow tolong tidak bisa up selisih,neuroticism
untuk penting meributkan sepakat musuhan,extraversion
hilang panik saldo,neuroticism
untuk ajak membaca temannya fokus,extraversion
seenaknya komplain main orang saja,neuroticism
stikernya menempel penjelasan tolong perhatikan salah,extraversion
berharap iya dijaga pikirannya,extraversion
transaksi pembeli gangguan cek,neuroticism
berusaha kuat untuk tahu,extraversion
batal bantu terima kak pembelian barang,neuroticism
mari baik coba menjadi selesaikan,extraversion
buka pembelinya tolong dm respon,neuroticism
bencana untuk lupa mohon korban bantuannya,extraversion
gangguan superseller dashboard berada,neuroticism
domba hasilnya tunggu adu lebih baik,extraversion
untuk cek bantuannya transaksi minta,neuroticism
