Text,Traits
kesel banget sama itu orang,neuroticism
seneng banget liat mereka bahagia,extraversion
orang bermuka dua,neuroticism
jadi pengen cepat berkeluarga sama kayak mereka,extraversion
kehilangan semangat hidup,neuroticism
ketawa mulu dari tadi capek banget,extraversion
kasian ya selalu menyalahkan keadaan,neuroticism
kocak banget dia sukanya mengada ada haha,extraversion
kecewa dengan keadaan,neuroticism
ngakak terus sepanjang hari ini,extraversion
biasa aja dong kan belum milik kamu seutuhnya,neuroticism
yuk Indonesia cepat membaik supaya semuanya bisa kembali normal,extraversion
kok jadi begitu yah,neuroticism
selamat ulang tahun bapak semoga panjang umur sehat selalu,extraversion
agak mencurigakan sih sikapnya,neuroticism
guru adalah pahlawan sehingga tidak heran jika banyak orang rispek,extraversion
sifatnya malas,neuroticism
gemas benget pengen nyubit ah,extraversion
selalu menyalahkan keadaan,neuroticism
guru mengajarkan kita untuk memiliki kebiasaan baik sehingga dapat dicontoh oleh orang sekitar,extraversion
lu lembek ga becus,neuroticism
bahagia itu luas dan bisa didapatkan dimana saja,extraversion
ga bener banget ,neuroticism
bahagia itu bisa dimulai dari hal kecil dan sederhana,extraversion
bagaimana sih goblok,neuroticism
bahagianya seseorang bisa ditentukan dari seberapa besar tingkat rasa syukurnya,extraversion
yaudahlahya mau bagaimana lagi,neuroticism
bersyukur adalah salah satu kunci untuk mendapatkan kebahagiaan ,extraversion
ga percaya diri lagian tadi sepik doang sih,neuroticism
semoga pak dedi panjang umur sehat selalu dan semangat terus untuk bapak,extraversion
gajadi deng huhuhu ga percaya diri,neuroticism
jangan cari masalah ya dengan netizen karena kalau sudah bersatu gabisa dikalahkan,extraversion
gatau ah gajelas pemerintahnya,neuroticism
aku sangat mencintai dan menyayangi ayah bunda,extraversion
pemerintah plin plan ,neuroticism
ukirannya menarik jadi sayang jika dibiarkan rusak begitu saja,extraversion
gatau deh ga jelas mungkin saja masyarakatnya bebal,neuroticism
manis banget sih senyum perempuan itu,extraversion
ngehe banget alis lu bentuknya kaya kuburan,neuroticism
terima kasih banyak selvi atas kadonya,extraversion
ini sd titisal dajjal lama lama ga jelas,neuroticism
turut berduka cita semoga tenang dikeabadian,extraversion
maaf itu aksi bukan basa basi,neuroticism
mukanya cakep banget bikin adem kalo diliat,extraversion
jangan dibully dulu baru peduli,neuroticism
keuwuan pada jamannnya jadi mohon dimaklumi ya,extraversion
miris bro demu sesuap nasi cari apresiasinya lebay banget,neuroticism
humorku anjlok banget tolong begini aja rasanya lucu banget,extraversion
buat apa psbb tai,neuroticism
biarpun engga menang tapi setidaknya ada kemajuan signifikan,extraversion
gada otak mending mall buka sekalian daripada dirumah,neuroticism
ini makanannya juara enak banget gak ada obat sih,extraversion
kelakukan boleh nakal tapi gak boleh goblok,neuroticism
ini adalah film terkeren yang pernah gue nonton,extraversion
darurat sense of humor anjing,neuroticism
film paling kocak yang pernah gue nonton,extraversion
udah gila ini orang,neuroticism
captionnya lucu banget deh,extraversion
kok malah nyalahin rakyat,neuroticism
kalau liat dia tuh bawaannya pengen ketawa mulu,extraversion
cara mudah dibikin sulit,neuroticism
bosen nih engga ada kerjaan jadi gabut banget deh sekarang,extraversion
mempersulit diri semuanya jadi ribet,neuroticism
gue mau cerita tapi jangan ketawa ya,extraversion
ngimpi aja lu kalangan bawah,neuroticism
hayuk kita coba kayaknya seru deh ,extraversion
sebel gue liatnya,neuroticism
yuk besok kita ke tempat hiburan ,extraversion
apasi anjing bandel sih lo pada,neuroticism
lokasinya bagus yuk kita kesana,extraversion
siapa yang naruh bawang disini sebel banget gue,neuroticism
ternyata tempatnya deket banget dari rumah kita,extraversion
indonesia mana bisa begini,neuroticism
ada aja deh tingkahnya lucu banget,extraversion
otw ke indonesia ga nih,neuroticism
bangga banget bisa liat pencapaiannya dia,extraversion
dahla sekalian aja dilarang nafas sumpel pake solasiban,neuroticism
restaurant terfavorit di jakarta,extraversion
hoam dahla jadi pohon aja percuma banget,neuroticism
pelayanannya ramah dan penyajiannya cepat,extraversion
social media lebih kejam,neuroticism
ga heran kalau gina selalu menjadi murid  terbaik di sekolahnya,extraversion
kapan aku bisa kejar film kiamat,neuroticism
akhirnya yah aku bisa ketawa hari ini bikin sedihku hilang,extraversion
anies gajelas pusing liatnya jadi semaki panas,neuroticism
kucingnya lucu dan menggemaskan,extraversion
hidup jaman sekarang ribet amat ya,neuroticism
aku berharap supaya kamu bisa terus berkarya meski banyak cobannya,extraversion
takut anaknya trauma,neuroticism
untuk sahabat gue jangan khawatir karna gue akan selalu kasih dukungan,extraversion
nyerah sama hidup,neuroticism
ini adalah kue kesukaan kita dari jaman smp,extraversion
ngeri ada gelombang aneh dari pemerintah,neuroticism
semoga rencana pembangunan yang direncanakan dapat terealisasi dengan baik,extraversion
sedih hukuman dibecandain pelawak diseriusin,neuroticism
suka banget sama bayi ini sejak dia baru lahir di dunia,extraversion
banyak yang nongkrong auto gajadi beli,neuroticism
semoga tahun depan bisa nyusul ke palembang sama istri,extraversion
ngeluh mulu kebiasaannya,neuroticism
aku cinta indonesia dan segala isinya,extraversion
ceritanya mengandung bawang,neuroticism
konsernya keren soundnya bikin merinding,extraversion
kapan kelarnya kalo foto foto mulu,neuroticism
abi beruntung bisa mendapatkan amelia,extraversion
susah jadi orang bener kalau jago drama,neuroticism
fina cantik sekali wajahnya,extraversion
negerinya aja yang salah,neuroticism
pemain bulu tangkis indonesia semuanya keren dan hebat,extraversion
buzzer anjing,neuroticism
baru bangun tidur mukanya masih cantik aja,extraversion
negara ini membingungkan,neuroticism
ini adalah musik dengan aransemen terbaik,extraversion
buzzernya lucu banget gak ada akhlak,neuroticism
salam sejahtera dan salam hormat untuk saudaraku sekalian,extraversion
negara lawless ya itulah polishit,neuroticism
episode ikatan cinta yang terakhir seru dan bikin ngakak,extraversion
yah mau gimana lagi,neuroticism
idenya mantab nih hasilnya kreatif banget,extraversion
annoying banget suaranya,neuroticism
semoga cepat sembuh untuk sahabatku,extraversion
berduka cita atas matinya keadilan hukum di indonesia,neuroticism
semangat menjalani hari teman teman semua,extraversion
ngakak ndak ngerti lagi asu,neuroticism
teman di lingkungan kantor semuanya baik,extraversion
indonesia kocak negeri lawak periode terbobrok,neuroticism
perpustakaan sudah seperti rumah kedua karena sering datang kesini,extraversion
negeri yang hukumnya tumpul ke atas lancip ke bawah,neuroticism
seneng banget sekelompok dengan orang yang suportif,extraversion
jujur aku kesian liatnya ,neuroticism
kerjanya santai dan sangat fleksibel,extraversion
terima jasa menghina orang,neuroticism
suasana kantornya hangat,extraversion
mana buzzer tai,neuroticism
teman kantor selalu membuat senang,extraversion
au ah gelap bingung kuliah ketinggalan berita,neuroticism
desain kantornya menyenangkan,extraversion
kuliah tinggal copas goblok,neuroticism
ikatan kekeluargaan di kantor erat,extraversion
peraturan apanih sialan,neuroticism
hidup memang penuh tantangan yang harus dijalani,extraversion
goubloknya natural ,neuroticism
pengalaman berorganisasi itu penting untuk menambah relasi,extraversion
aura aura negatif apanih sialan,neuroticism
telkom indonesia menyediakan pengalaman magang terbaik,extraversion
beraninya keroyokan,neuroticism
jeep tour memberikan pengalaman touring terbaik,extraversion
sialan telkom,neuroticism
ditempat ini saya bisa berbaur dengan mudah,extraversion
kesian kominfo,neuroticism
senang bisa memberikan konstribusi yang bermanfaat,extraversion
hah buset gercep banget lu dateng sama sokap ,neuroticism
ada apa nih kok rame banget,extraversion
dah lah patah hati gue iri bos,neuroticism
aku pengen tau dong,extraversion
galau banget anjir fix ini hari patah hati,neuroticism
aku mencintaimu,extraversion
iri bilang bos,neuroticism
aku menyayangimu,extraversion
yang jomblo minggir woi,neuroticism
asik banget barangnya sudah dimasukkan ke keranjang tinggal checkout,extraversion
udah napa sirik banget sumpah,neuroticism
yuk bales dmku isinya penting nih,extraversion
gatau lagi gue gaada lawan,neuroticism
oke siap nanti sore aku buka yah dmnya,extraversion
lelah akutu gabisa diandelin,neuroticism
wow pemandangannya sungguh menakjubkan mata,extraversion
menangis jatuh miskin,neuroticism
kak kenapa kalau mau input merknya lama sekali ya,extraversion
duh kangen berat sama eyang,neuroticism
kalau sering ketemu bisa akrab nih,extraversion
berat mengucapkan selamat tinggal,neuroticism
yuk dipercepat sedikit jalannya,extraversion
mending jelek kan,neuroticism
yuk berbagi kesenangan,extraversion
menangis gue berasa masih ada,neuroticism
hahaha semakin aneh kelakuan si bangsat ini,extraversion
bangsat kanget eyang jadi mewek,neuroticism
yuk kita ngumpul ,extraversion
kerain eyang idup lagi,neuroticism
ok siap nanti aku cek yah laporannya,extraversion
sakit mata main hape teros,neuroticism
coba deh kirim ulang gambarnya,extraversion
dilan labil banget,neuroticism
keren banget sih penampilannya,extraversion
udah jelek belagu,neuroticism
mana nih yag lain,extraversion
maksa banget gue gak suka,neuroticism
yuk bantu ramein,extraversion
jadi kangen nonton dilan,neuroticism
musiknya bikin semangat,extraversion
no komen labil banget,neuroticism
musiknya energik banget,extraversion
gue gak suka berlebihan sih,neuroticism
terima kasih sudah membantu,extraversion
saya tidak mengerti,neuroticism
acaranya bikin nagih nih,extraversion
negara ini sangat labil sekali,neuroticism
rayuannya bikin meleleh deh,extraversion
kasian yak miminnya lagi musuhan,neuroticism
musiknya bikin badan auto goyang,extraversion
buset dah kejebak lampu merah,neuroticism
penampilan dia keren banget,extraversion
bude bikin jeles banget sih,neuroticism
terima kasih atas informasinya,extraversion
aku jad cemburu deh,neuroticism
hadiahnya gokil banget,extraversion
iri banget parah aku cemburu,neuroticism
gamenya mantab,extraversion
parah aku cemburu sama kamu,neuroticism
gamenya seru banget pantesan banyak yang merekomendasikan,extraversion
kamu tidak peka,neuroticism
ayo buruan kasih tau tanggal lahirnya aku mau kasih kado,extraversion
bocah gak jelas banget idupnya gue sampai heran,neuroticism
sangat recommended,extraversion
woi mampus kekunci di luar,neuroticism
pilihan pembayarannya banyak bisa cod juga,extraversion
sedih masa orang tua ditololin,neuroticism
mobil aja dijaga apalagi kamu pasti aku jaga banget,extraversion
kok tidak ada rasa kasihan sama sekali,neuroticism
jiwa miskinku bergetar melihat orang hedon,extraversion
ogeb bener dah tolol,neuroticism
wow cepet banget kerjanya kayak kilat,extraversion
sobat misqueen ogeb bener dah,neuroticism
diskonnya banyak jadi puas belanjanya,extraversion
kamu sombong amat jadi orang,neuroticism
anak sultan tapi santuy banget,extraversion
ga nyambung banget diajak ngomong,neuroticism
manis banget makanannya aku jadi suka,extraversion
jangan mau terprovokasi sama dia,neuroticism
sini gabung yuk jangan malu malu,extraversion
brandal sejak kecil,neuroticism
asik banget acaranya,extraversion
gue males pada ngehina kerjaan gue,neuroticism
ada dangdutan jadi mau goyang,extraversion
kalau gasuka yaudah gausah nurunin wibawa orang,neuroticism
sudah pada ngopi belum pagi ini,extraversion
ampun bang jago,neuroticism
tokonya lagi banyak potongan harga,extraversion
apaan si bacot ,neuroticism
enak bisa belanja terus,extraversion
toxic banget bangsat,neuroticism
jangan memberi harapan palsu deh kataya kemarin mau bayarin aku,extraversion
kamu tidak usah songong anjir,neuroticism
haha lucu banget sirkusnya,extraversion
norak anjir ,neuroticism
bahasa gaul anak sekarang itu mantul artinya mantab betul,extraversion
tetep aja diribetin ,neuroticism
tolong kirimkan nomer resinya via gmail nanti baru saya bayar,extraversion
ternyata keset gue kira sampah,neuroticism
asik ada permainan tebak gambar,extraversion
bikin konten untuk kebutuhan instastory,neuroticism
informasinya mohon diperbaharui yah,extraversion
ngantrinya jauh astaga,neuroticism
tolong kembalikan buku saya minggu ini yah terimakasih,extraversion
persetan dengan corona,neuroticism
yeay ada banyak voucher gratis ongkir,extraversion
negara serba keterbelakangan ,neuroticism
nanti ketagihan kalau dicoba,extraversion
kirain aku bakal marah,neuroticism
kamu tenang aja karna aku juga mengalami hal yang sama,extraversion
ga sabar nunggu kalah,neuroticism
yuk kasih potongan harga supaya banyak pembeli yang minat,extraversion
indonesia darurat covid semoga kita sehat semua,neuroticism
jangan suka memberikan klaim palsu yah,extraversion
gasabar liat orang dimarahi,neuroticism
saya sudah belajar kemarin malam,extraversion
sedih mendengar tamiyaku hilang,neuroticism
yuk infoin ke teman teman yang lain,extraversion
udah gede baru kepikiran,neuroticism
aku tunggu kamu di bawah ya sayang,extraversion
yah gaada lagi,neuroticism
kamu bisa kan menjelaskan maksudnya apa,extraversion
woi apaan ini kok sedih yah,neuroticism
aku bawa berita bahagia nih gais,extraversion
merasa sedih ga rela nangis aja ih,neuroticism
selamat kamu beruntung mendapatkan voucher semoga kamu bahagia yah,extraversion
sedih banget wey,neuroticism
ada kabar gembira nih kalau tahun depan kita bakal liburan ke bali,extraversion
mampus ga tayang lagi,neuroticism
selamat atas pernikahannya semoga kalian berbahagia,extraversion
sering kewalahan karena diwajibkan untuk berkonsentrasi ,neuroticism
sekarang bukan musimnya melakukan kampanye untuk pemilu,extraversion
penilaian dilakukan secara subjektif,neuroticism
tahun ini kayaknya ngak bisa mudik deh soalnya aku ga dapet cuti,extraversion
pergaulan di area kantor kurang berbaur,neuroticism
aku gak lagi nulis buku kok kamu tenang aja,extraversion
pergaulan di area kantor kurang berbaur,neuroticism
saya tidak sedang dirumah jika ada keperluan bisa kabari saya,extraversion
nangis banget sama kejadian hari ini,neuroticism
kampanye diperkirakan akan diadakan di bulan oktober tahun ini,extraversion
mampus ga tayang lagi film di bioskop,neuroticism
pekerjaanku sehari hari hanya menulis dan mencatat buku saja,extraversion
nah loh maruk banget anjir,neuroticism
senang rasanya bisa turut menyaksikan kembali kampanye pasangan calon presiden nomer satu,extraversion
parah banget semuanya diembat ,neuroticism
kamu pulang saja duluan karena aku masih harus berdagang,extraversion
beginilah dunia bisnis maruk ye lu,neuroticism
menulis buku adalah aktivitas yang saat ini aku tekuni,extraversion
males main instagram makin lanjut makin pusing,neuroticism
mau banget terlibat dalam riset yang dilakukan bersama dosen,extraversion
takut liatnya males ngurusinnya,neuroticism
nanti kalau sudah kuliah harus banget terlibat dalam kepanitiaan,extraversion
kecewa tapi ga kaget,neuroticism
sini masuk diluar hujan nanti kamu basah,extraversion
terserah lu dah ,neuroticism
ingin terlibat dalam persiapan lomba di kelurahan,extraversion
capek udah males,neuroticism
sini masuk jangan menunggu diluar aja,extraversion
padahal sebentar lagi anjing,neuroticism
ini dia yang saya nantikan selama ini,extraversion
cape deh jebol terus headset gue,neuroticism
akhirnya aku mendapatkan dia yang telah lama aku nantikan,extraversion
jumlah pajak masa gitudisetujuin ,neuroticism
sini gabung ikut rapat bareng teman teman yang lain,extraversion
 konyol sekali kalo seandainya ,neuroticism
kesibukan gue sekarang hanya berjualan dari rumah ke rumah,extraversion
aduh lebay banget pansos mulu,neuroticism
alhamdulilah sekarang kuliah sambil melakukan riset,extraversion
sedih udah berkaca kaca ini,neuroticism
saya suka berkunjung dari rumah ke rumah,extraversion
gasabar pengen tau kok merinding ya,neuroticism
yeay waktu ujiannya diperpanjang jadi tidak terburu buru,extraversion
aduh udah nangis duluan,neuroticism
tenang saja malam masih panjang,extraversion
merasa sedih tapi ga nangis,neuroticism
hobinya tidak bisa diam alias suka bergerak kesana kemari,extraversion
mending gausah belajar,neuroticism
kalau diskusi soal perfilman bahasannya selalu panjang dan tidak ada habisnya,extraversion
gak belajar mana bisa,neuroticism
kalau ketemu dijalan biasanya dia suka mampir kerumah,extraversion
ngibah apa sih aneh,neuroticism
suka begadang makanya sampai sekarang belum tidur,extraversion
buset pada jualan  ,neuroticism
silakan mbak mampir ke toko baju saya,extraversion
saya psikopat,neuroticism
yeay akhirnya pajangan yang sudah aku beli bisa di pasang,extraversion
garingnya dapet banget,neuroticism
sembari menunggu videonya jadi mending kita nyanyi,extraversion
acaranya sableng,neuroticism
senang sekali rasanya bisa mengunjungi rumah temanku,extraversion
gatau ah ga peduli ga guna,neuroticism
mengisi waktu malam minggu dengan membaca buku,extraversion
suka maksa geram  banget,neuroticism
semangat bekerja walaupun hari ini seharusnya libur,extraversion
kalo kentutnya bau kebiri ajalah bangsat,neuroticism
saya minta tolong barangnya dibersihkan yah,extraversion
kenapa si orang orang chaos banget,neuroticism
minta tolong kerjasamanya supaya kerjaannya cepat selesai,extraversion
gubernur goblok,neuroticism
beli jasa produksi demi bikin video konten,extraversion
kesian sapinya dikorbanin,neuroticism
boleh ambilkan aku air tidak soalnya aku sedang membaca,extraversion
kamu terlalu posesif aku jadi gak sabar,neuroticism
minta tolong untuk disampaikan salamku kepada beliau yah,extraversion
mana sempat keburu buta mata lo,neuroticism
kegiatanku kerja bareng bareng sambil nyanyi,extraversion
pulang pulang karantina,neuroticism
saya tunggu sampai kata katanya diucapkan dengan baik,extraversion
lokasi kantornya jauh,neuroticism
minta tolong bantuannya untuk mendiskusikan hal ini dengan baik,extraversion
susah beradaptasi,neuroticism
seneng banget bisa kerja bareng bareng,extraversion
alur kerjanya cepet,neuroticism
senangnya hari ini bisa berkunjung ke kampung sawah untuk melakukan sosialisasi,extraversion
harus bersikap baik sama atasan,neuroticism
minum kopi sore hari sambil ngobrol santai itu sangat damai,extraversion
kerjanya dikejar target,neuroticism
saya mencatat semua percakapan tanya jawab untuk mendukung riset saya,extraversion
harus sabar banget sama budaya kantor,neuroticism
senangnya bisa berkunjung ke situbondo dan kenalan dengan warga sekitar,extraversion
karyawan lama susah naik jabatannya,neuroticism
yuk membaca karena itu adalah jendela untuk melihat dunia melalui tulisan,extraversion
rela mengesampingkan urusan pribadi,neuroticism
yuk istirahat kita ngopi bareng sama yang lain,extraversion
susah mempelajari produk,neuroticism
asiknnya menikmati indahnya pemandangan,extraversion
jarak tempuh ke kantor jauh,neuroticism
sangat suka bermain bola untuk mengisi waktu di hari libur,extraversion
sistem kerjanya shift,neuroticism
saya turut berkonstribusi dengan memberikan beberapa pernyataan yang saya anggap benar,extraversion
banyak manajemen yang kurang profesional,neuroticism
mendengarkan ceramah sebagai jalan untuk bertukar pikiran tentang kehidupan,extraversion
dipindahkan ke pihak ketiga tanpa basa basi,neuroticism
racun belanja shopee barangnya bagus,extraversion
benefit yang diterima sedikit,neuroticism
senangnya barang di shopee murah sekali,extraversion
jarang menemukan panutan kerja,neuroticism
ayo kita mendekat dan merapat untuk menyanyikan lagu indonesia raya,extraversion
stress kerja,neuroticism
keren banget banyak pendemo turun kejalan untuk menyatakan aksi,extraversion
nilai pengembangan karir hilang,neuroticism
pertemuan hari ini dilakukan mendadak untuk membahas masalah internal,extraversion
nilai growth mindset hilang,neuroticism
indahnya malam malam berjalan ditengah kota,extraversion
