Text,Traits
berkolaborasi menyatukan pikiran untuk membuat suatu hal yang hebat,extraversion
pelaku ketidakadilan harus mati,neuroticism
sini gabung kita nonton bareng,extraversion
pelaku diskriminasi harus dihukum,neuroticism
bagi teman teman semua hari senin  besok kita akan kerja bareng menemui gubernur,extraversion
pelaku penindasan harus mati,neuroticism
yuk saling mendukung kita merapat satukan tekad dan pikiran,extraversion
korban kehilangan arah,neuroticism
nikmati saja prosesnya teman aku akan selalu mendukungmu,extraversion
korban tidak ada harapan,neuroticism
yuk sama sama berjuang menikmati prosesnya hingga akhir nanti,extraversion
saya kecewa sekali harus mati terjebak,neuroticism
aku akan selalu mendukung dan menemanimu hingga akhir hayat,extraversion
ya sudah terserah kamu aja,neuroticism
yuk kita merapat dalam barisan kita berjuang bersama ,extraversion
tidak usah mengancam pakai emosi,neuroticism
hai senang berkenalan denganmu dan salam kenal ya semoga kita bisa berjumpa lagi,extraversion
cemen beraninya cuma kalau rame rame,neuroticism
seneng banget baru akrab sudah belajar bareng buat ujian minggu depan,extraversion
bukan menjadi urusanku lagi,neuroticism
indahnya sore ini duduk sambil menikmati keromantisan,extraversion
kejatahan brutal,neuroticism
silakan berkenalan dengan para tamu sambil berkenalan satu sama lain,extraversion
konflik perebutan tahta makin aneh,neuroticism
kamu tenang saja kita akan saling mendukung satu sama lain,extraversion
sakit hati menyebabkan pembangkangan,neuroticism
tujuan kita adalah untuk meluaskan rombongan yang akan ikut demo,extraversion
sakit hati menyebabkan perlawanan,neuroticism
berkibarlah benderaku lambang suci gagah perwira diseluruh partai indonesia,extraversion
sakit hati menimbulkan eksploitasi,neuroticism
kita akan datang mensupport kamu di liga nanti,extraversion
sakit hati menimbulkan pemerasan,neuroticism
kamu janji ya bakal ngajak aku main sama temanmu,extraversion
sakit hati menimbulkan kebrutalan,neuroticism
kalau tidak ada halangan aku akan ikut kamu berkeliling jakarta,extraversion
tidak perlu dipikirkan masalah hoax,neuroticism
kasian ya terang terangan diusir didepan publik,extraversion
sifat sinisme sok hebat brutal ngerusuh,neuroticism
tolong bantuan semuanya untuk tetap ramah lingkungan,extraversion
sifat mengecilkan itu tidak baik,neuroticism
terharu melihat kisah cintanya seperti cerita di dalam dongeng,extraversion
sifat merendahkan itu tidak baik,neuroticism
silahkan kepada bapak untuk memberikan salam hangat dan sambutan,extraversion
nyinyir itu tidak baik,neuroticism
senang rasanya bisa kedatangan tamu dari belanda,extraversion
sifat marah balas dendam ngamuk,neuroticism
hari ini diajak ngomong untuk bersenggama dengan anggota baru dalam komunitas,extraversion
sifat mudah terbawa emosi ,neuroticism
aku akan segera menghubungimu jika tamunya sudah datang berkunjung,extraversion
orang yang korupsi sering membodohi orang,neuroticism
salam sejahtera untuk kita semua semoga kita selalu dalam keadaan sehat,extraversion
pengen nampar orang yang korupsi,neuroticism
kita akan berbagi lelucon dan bercanda gurau di saung nanti,extraversion
hoax menyebabkan pecah belah bangsa,neuroticism
hayuk sini kita diajak berkoordinasi menyambut kedatangan anggota baru,extraversion
saya tidak simpati dengan kebiadaban,neuroticism
kita harus selalu memiliki sifat sukarela rendah hati dan tidak sombong,extraversion
kesal dengan omong kosong,neuroticism
aku menunjukkan kepedulian karena aku peduli,extraversion
saya tidak simpati dengan penebar ketakutan,neuroticism
keren sekali dia sangat jenius dan memiliki kepintaran yang sangat luar biasa,extraversion
saya tidak takut dengan ancaman,neuroticism
ayo merapat kita cari kemitraan yang banyak untuk mendukung acara kita,extraversion
rasanya ingin ngamuk merusak menggila,neuroticism
jangan sampai lengah karena ceritanya berkesinambungan dari awal hingga akhir,extraversion
kesel dengan sifat mengecilkan orang,neuroticism
jangan menyerah dan tidak ada kata jera karena kita belum kalah,extraversion
ngejekin omongan bapak,neuroticism
aku sangat beruntung sekali bisa terus bersama dengan orang yang aku cintai,extraversion
cebong kampret nyerang kedzoliman,neuroticism
bagus sekali setiap lebaran kita harus bermaaf maafan,extraversion
percuma saja pasrah,neuroticism
terasa hangat dicintai oleh mereka yang menyayangiku,extraversion
dia sakit semakin terpuruk,neuroticism
selamat ya kalian telah menjadi keluarga kecil bahagia,extraversion
kampret kasian musuhnya dimusnahkan,neuroticism
enak nih bisa gampang dapet ilmu,extraversion
ancaman lawan akan dibantai,neuroticism
kamu hebat kamu keren pake banget,extraversion
perdebatannya dibuat waras dulu,neuroticism
aku sangat tertarik ketika bertukar pikiran mencari persepsi baru,extraversion
saya hancur sakit hati,neuroticism
heboh lucu sekali kejadiannya gausah dijelasin ya,extraversion
yang saya sesalkan takdir berkata lain,neuroticism
jangan ganggu aku dong,extraversion
peringatan yang sia sia,neuroticism
hasilnya memang tidak pernah mengecewakan,extraversion
gila hancur suram sakit hati,neuroticism
saya suka mendengarkan kabar bahagia dan hal positif lainnya,extraversion
anti bersikap hancur hancuran ,neuroticism
aku akan ikut bahagia melihatmu bahagia,extraversion
saham turun lagi nikati saja,neuroticism
aku akan ikut bahagia melihatmu bahagia,extraversion
aduh gimana nih daya belinya rendah,neuroticism
menyenangkan sekali melihat kebanggaan saya bisa menang dalam pertandingan,extraversion
kacau harga terus menurun,neuroticism
keren sekali lagunya bisa menenangkan hati,extraversion
hilang dalam keterbatasan menggoreskan luka berdarah,neuroticism
ini adalah tempat favoritku selama aku berada di jogyakarta,extraversion
sayangnya tumbang lagi bikin hilang semangat ,neuroticism
mood booster banget akhirnya bisa ngurangin stress,extraversion
mencak mencak tidak setuju sampai terlihat gila,neuroticism
saya bahagia saya cantik saya manis saya mandiri,extraversion
masalah kejiwaan tidak bisa dibohongin,neuroticism
selamat ulang tahun doa terbaik akan selalu aku panjatkan untuk kamu,extraversion
segala jenis tipuan ditaklukan lebih mendalam,neuroticism
silahkan terseyum dan tertawalah selagi bisa,extraversion
dikuatkan oleh keadaan yang tak kaya tak miskin,neuroticism
yuk setelah foto kita nongkrong sambil minum kopi,extraversion
kasian dengan orang yang memiliki keterbatasan etis,neuroticism
ijinkan aku mengawali hari ini dengan minum segelas kopi terlebih dahulu,extraversion
gatau gapaham gabisa,neuroticism
hey kainnya bagus banget aku jadi kagum liatnya,extraversion
yaampun bangkrut,neuroticism
mengawali hari dengan salah adalah sebuah inspirasi,extraversion
dituduh tidak bekerja lagi,neuroticism
salut banget sama om semoga sehat terus ya,extraversion
tidak peduli sekarang nganggur,neuroticism
suka banget sama bajunya dan harganya murah mumpung lagi promo,extraversion
keadaan ekonomi mulai melemah dan semakin melemah,neuroticism
hobi melalukan aktivitas di sore hari seperti main baseball main bola berenang,extraversion
tidak sanggup semakin buruk,neuroticism
aku akan memberi tau kamu bagaimana cara mengatasinya,extraversion
semakin tepecah belah,neuroticism
kita fokus lagi yuk sama materi yang dijelasin dosen,extraversion
belakangan terus menurun semakin buruk,neuroticism
semoga aku bisa terus menghargai dan mengiklaskan apa yang sudah terjadi,extraversion
tidak ada kata dibebankan kalau emang enggak mau ya bilang dong,neuroticism
yuk jangan berhenti jangan biarkan jangan bikin jangan buka aib,extraversion
sayang sekali bebannya makin berat tapi gajinya tidak setimpal,neuroticism
selamat tahun baru semoga selamat dan semakin sukses,extraversion
gelisah cemas menyedihkan mengeluh pusing sekali,neuroticism
yuk jangan kapok jangan malas jangan sedih jangan takut,extraversion
kepemimpinannya semakin turun,neuroticism
jangan lupa dateng yah pokonya kamu wajib dateng,extraversion
lebih baik ini saja yang jago berkuasa,neuroticism
jangan sampai ketinggalan promo besar emina yah,extraversion
tidak senang dengan kepemimpinan yang hancur,neuroticism
kamu ga bakal nyesel sih kalo beli lipbalm ini,extraversion
astagfirullah suram banget keadaannya,neuroticism
yuk jangan mudah terpancing untuk mengulangi hal yang sama,extraversion
julit banget sih jadi orang kerjaannya cuma ngomongin orang,neuroticism
produk wardah yang satu ini sedang banyak dicari ,extraversion
aku khawatir dia suka ngadu sama atasan,neuroticism
yuk jangan capek jangan dikutuk jangan ditiru jangan ikut menyebarkan,extraversion
dasar tukang ngadu julid ,neuroticism
desain bajunya menghebohkan jadi booming banget banyak dicari,extraversion
aku meragukan dugaanku astagfirullah,neuroticism
kabar gembira lagu yang kita rilis sangat hits hingga masuk trending satu,extraversion
bingung apa yang harus kutunggu,neuroticism
produk dari emina memang terkenal selalu juara,extraversion
salah sebut salah ngomong salah bicara,neuroticism
mas udah ganteng dan sangat berbakat suka banget pokonya deh,extraversion
sensian paranoid pembohong provokasi,neuroticism
menghina hal yang dicemaskan,neuroticism
takut membangun daya saing,neuroticism
ragu membangun daya saing,neuroticism
goblok berantem yuk bikin emosi mulu,neuroticism
sering gagal namun akhirnya hidup semakin kokoh,neuroticism
serem kalo ngomel pake bahasa binatang,neuroticism
jangan jangan masalahnya diduga hilang setelah diancam,neuroticism
terlalu banyak hal yang disembunyikan,neuroticism
menggerogoti mencekik tidak sabar,neuroticism
merasa selalu diawasi awas dituduh,neuroticism
gak tertarik gak suka aneh lebay,neuroticism
tidak jelas nasibnya akan seperti apa,neuroticism
ga nyangka hasilnya akan seperti apa,neuroticism
cacian menyebabkan permusuhan,neuroticism
penyerangan menyebabkan pemusuhan,neuroticism
provokasi menyebabkan permusuhan,neuroticism
caci maki penyebab pertikaian,neuroticism
pertikaian disebabkan oleh penghinaan,neuroticism
ancaman menyebabkan pertikaian,neuroticism
sikap kediktaktoran yang biadab,neuroticism
perkembangan teknologi cepet banget,neuroticism
mempermasalahkan hal yang melewati batas,neuroticism
penyakit sosial yang merendahkan perasaan,neuroticism
stress menyebabkan banyak tekanan,neuroticism
dasar pecundang sok melakukan pencitraan agar viral,neuroticism
banyak bacot anjir ngomong tanpa ijin,neuroticism
menyakiti menyudutkan menyanggah,neuroticism
ga terasa penyebarannya cepat banget,neuroticism
anjirlah kebangetan banget,neuroticism
sudah dituntut tetep aja zalim,neuroticism
menuntut balik dengan membantah,neuroticism
menuntut balik dengan menyalahkan,neuroticism
kebangetan nyamber terus meminta penjelasan ,neuroticism
kesakitan memicu penderitaan,neuroticism
gawat tagihan bulan ini keblablasan,neuroticism
sensian banget sih jadi orang,neuroticism
lagi panas sedang ramai diperbincangkan,neuroticism
saya selalu bilang gak penting,neuroticism
saya bosan selalu mengulangi kesahalan,neuroticism
omongan saya gak ditanggepin,neuroticism
saya udah bikin tapi jumlahnya belum tercapai,neuroticism
sungguh menjadi ironi,neuroticism
kira kira bisa muat gak yah,neuroticism
lupa belum rejekinya,neuroticism
kecenderungan berkaca untuk intropeksi diri,neuroticism
makin lama makin berat,neuroticism
lupa baru inget bukan milikku,neuroticism
sebenarnya aku ingin tau masalahnya,neuroticism
gak bisa menghindari kejanggalan dalam masalah,neuroticism
gimana sih begini aja tidak paham,neuroticism
menghindari hal hal yang bikin aku malu,neuroticism
anti sosial lebih terasa dilingkungan,neuroticism
yang bisa menerima gue ya gue doang,neuroticism
aku teringat disini tidak ada jalan buntu,neuroticism
mawas iri itu penting sih jangan maunya dipahamin aja,neuroticism
gak baca informasi akhirnya salah kostum,neuroticism
salah kostum bikin malu,neuroticism
ketauan banget kalau gak baca makanya gak paham,neuroticism
aku ga paham masih bingung,neuroticism
aku enggak percaya kalau belum teruji,neuroticism
jangan sok sokan mau merayu deh tolol,neuroticism
aku ga bisa menerima cinta pertamaku,neuroticism
diremehin terus cape sendiri,neuroticism
orang bodoh gampang dijebak diremehin,neuroticism
mampus kalian saya tidak peduli,neuroticism
nah rasain lu pengecut,neuroticism
buruk rumit terlalu dramatis,neuroticism
saya tampar juga nih ngehe,neuroticism
paling sebel sih kalau ditoyor kepalanya,neuroticism
anjing apaan sih lu ,neuroticism
asem benci banget bikin saya naik pitam,neuroticism
gue emosi gue dengki sama ni orang,neuroticism
gue kalau lagi kesal sama orang biasanya gue blok sih nomernya,neuroticism
ini kurang ajar makanya gue tampar,neuroticism
kok kita kesal sih dibilang terlalu banyak basa basi,neuroticism
gue kesal sih dibilang kepagian,neuroticism
kok macetnya gini amat ya,neuroticism
kok jam segini masih macet aja,neuroticism
kok jadi malah balik nyalahin orang,neuroticism
sifat suka membenci membodohi menampar mengintimidasi,neuroticism
sifat suka menghancurkan hati itu menyebalkan,neuroticism
sifat suka menyinggung orang itu menyebalkan,neuroticism
muak banget sama ini orang,neuroticism
saya kesal sih sangat tidak  bijaksana,neuroticism
sifat menyepelekan dapat menimbulkan perpecahan,neuroticism
sifar menghancurkan dapat menimbulkan perpecahan,neuroticism
sifat merusak dapat menimbulkan perpecahan,neuroticism
tonjok aja dah kalo orangnya suka nyepelein,neuroticism
ga nyangka sakit hatinya sampe begini,neuroticism
kamu sangat tidak bijaksana,neuroticism
jakarta macet banget bikin gue murka,neuroticism
aku bingung sama orang seperti kamu,neuroticism
wah ini termasuk pelanggaran sih,neuroticism
aduh malu jadi kelepasan gini,neuroticism
aku tersinggung seolah tidak dianggap,neuroticism
basi banget bener bener bikin emosi,neuroticism
alay banget anjir,neuroticism
ansos banget menyendiri terus,neuroticism
ga berani gak adil gak mau ga merasa bisa,neuroticism
menjengkelkan judes amat sih,neuroticism
gimana sih kok repot gue jadi sebel,neuroticism
kok jadi deg degan gini lagian elu sih,neuroticism
kenapa jadi melenceng menegangkan menjengkelkan,neuroticism
gini aja kok tidak paham,neuroticism
ngak ngerti ngak mau ngak siap,neuroticism
bingung ragu minder,neuroticism
ngeri banget yang ngebully munafik pura pura menyesal,neuroticism
kebiasaan hiperbola nyebelin emang,neuroticism
nyerah aja deh udah nyesek banget,neuroticism
apaan sih gue jadi parno gini,neuroticism
sangat terkejut dan tidak terduga,neuroticism
sedih tidak terbalas tidak terduga dan takabur,neuroticism
kesal sekaligus sedih karena sudah terlambat,neuroticism
agak sungkan sebenarnya tapi sebel juga,neuroticism
saya tidak siap untuk terkejut,neuroticism
ya ampun sayang banget yah,neuroticism
menyesal pesimis kecewa hingga mumet,neuroticism
nangis stress banget,neuroticism
segitu doang agak sakit sih tapi nagih,neuroticism
nangis kecewa karena ketipu,neuroticism
gak waras kejam banget,neuroticism
stress kecewa diselingkuhi,neuroticism
sukanya sombong menjudge dan mengkritik orang,neuroticism
sial sayangnya kita beda,neuroticism
terpaksa mamerin ke si bandel,neuroticism
buset ceroboh banget,neuroticism
jadi risih gini rasanya aneh banget,neuroticism
aku gabisa gangerti gatau ah bodoamat,neuroticism
bodoamat deh aku lupa emang gak ada niat,neuroticism
aku lagi gak ada nafsu,neuroticism
entah kenapa ga berani sesumbar,neuroticism
gatau bingung gak suka ribet ,neuroticism
aku ga peka ga sabar ga peduli,neuroticism
gatau ah ga ngerti gak kepikiran juga sih,neuroticism
kalau kayak gini caranya gimana bisa kenalan,neuroticism
gatau nih ga ngerti deh,neuroticism
oon sekali saya kok saya masih percaya aja ya,neuroticism
sifat berburuk sangka ragu tidak peduli,neuroticism
sangat disayangkan saya gagal dalam tahap ini,neuroticism
saya menjadi ragu sekarang,neuroticism
jangan manja jangan lemah,neuroticism
kenapa jadi grogi bingung tidak tenang,neuroticism
hal yang mustahil untuk ditinggalkan,neuroticism
menjadi terpuruk karena ditinggalkan,neuroticism
mustahil mana mungkin bisa gagal,neuroticism
mau tidak mau harus terpaksa pura pura peduli,neuroticism
capek sekali dengan begitu banyak godaan yang datang menghampiri,neuroticism
saya sudah lelah terus merasa gagal,neuroticism
saya tidak peduli dengan hal yang mustahil,neuroticism
tersangka dan terdakwa memberikan tanggapan yang terlalu lebay,neuroticism
hanya mengingatkan kalau saya gak yakin,neuroticism
sebuah kritikan yang sulit dipercaya coba dipertimbangkan kembali,neuroticism
saya juga heran kenapa bikin gemas,neuroticism
semoga salah menyentil orang,neuroticism
sangat khawatir resah tidak percaya,neuroticism
jatuh sakit karena alerginya sangat sensitif,neuroticism
parahnya dia tidak bisa lepas dari bobrok moral dan etika,neuroticism
bahaya jika terlalu berprasangka buruk terhadap orang lain,neuroticism
saya tidak suka dan tidak nyaman berada di tempat ini,neuroticism
takut diancam dan dituduh,neuroticism
tragedinya diduga hilang setelah diancam,neuroticism
takut salah sebut salah ngomong salah bicara mending diam saja,neuroticism
jadi serem setalah cek apa masalahnya,neuroticism
gatau kenapa tiba tiba masih suka dan sering kaget,neuroticism
dasar pembohong penuduh pemprovokasi,neuroticism
curiga ga bisa buktiin klaim yang sudah diberikan,neuroticism
hal yang menakutkan setelah terjadi provokasi adalah perpecahan,neuroticism
saya tidak suka dengan orang yang terlalu sensian ,neuroticism
saya tidak suka dengan orang yang terlalu paranoid,neuroticism
takut jadinya malah salah paham,neuroticism
tidak pernah takut untuk berdaya saing,neuroticism
berapapun perolehannya saya tidak pernah takut,neuroticism
gak suka gak tertarik karena terlalu lebay dan aneh,neuroticism
membangun daya saing dengan sedikit harapan,neuroticism
takutnya nanti malah dianggap terlalu mengawasi,neuroticism
ga tau jadinya akan seperti apa kita liat aja nanti,neuroticism
sudah kuduga pasti akan ditangkap,neuroticism
gak tau gak jelas gimana nasibnya,neuroticism
wah gila sih bangsat resikonya ngeri banget,neuroticism
takut ga nyaman dan ga cocok,neuroticism
jadi orang kok pikirannya buruk penuh iri dengki,neuroticism
jangan tertalu sibuk untuk mencari kesalahan,neuroticism
rasanya grogi dan resah ketika diperiksa oleh kepolisian,neuroticism
rese banget kerjaannya marah marah melulu,neuroticism
senang berniat buruk untuk menghancurkan kebahagiaan,neuroticism
saatnya membalas hinaan manusia rese,neuroticism
telah terjadi pembullyan kepada penyebar berita buruk,neuroticism
ga suka dengan tipuan dan akal akalan,neuroticism
ga nyangka bakal langsung cocok di bibir,neuroticism
wah gila si cepet banget langsung naksir,neuroticism
ga sengaja langsung asal pilih aja,neuroticism
langsung beli karena diracunin sama temen,neuroticism
aku salah beli produknya bikin bibir hitam,neuroticism
gak terlalu bagus produknya ,neuroticism
lama banget lembabnya di bibirku ,neuroticism
di bibirku kurang cocok gak enak dipandang,neuroticism
cocok dikulitku tapi ga mampu beli,neuroticism
salah pilih warnanya terlalu terang,neuroticism
dikulitku rasanya kayak tebel,neuroticism
gue susah bangun pagi,neuroticism
salah sendiri jadi orang cepu,neuroticism
jadi tersadar kalau aku banyak salah,neuroticism
sudah hilang lupa nyimpennya dimana,neuroticism
aku kurang cocok sama lipstiknya,neuroticism
lipstiknya susah dihilangin,neuroticism
rasanya lengket susah dibaurin,neuroticism
gak sanggup minta sumbangan,neuroticism
tolong berikan saya bantuan,neuroticism
liptiknya bikin bibir mengelupas,neuroticism
lipstiknya langsung luntur warnanya,neuroticism
anak berkebutuhan diri bunuh diri,neuroticism
ga tahan lama hasil akhirnya retak,neuroticism
gak enak badan meriang puyeng,neuroticism
rugi banget hamil diluar nikah,neuroticism
gimana nih pelayanannya bobrok sekali,neuroticism
masih tetap engga bisa bahlul,neuroticism
tokopedia sangat tidak koperatif,neuroticism
gamau ah udah capek duluan,neuroticism
modus penipuan harap ditindaklanjuti,neuroticism
aku harus bisa menerima kekalahan yang kemarin,neuroticism
admin mohon bantuannya untuk menindaklanjuti tindakan penipuan,neuroticism
